株主ID,株主名,性別,年齢,職業,市,地名
921,桑田,女,43,測量技術者（測量士、測量士補）等,つくば,学園南二丁目
922,日比野,女,26,施設警備員,つくば,学園南三丁目
923,西脇,男,45,道路交通誘導員,つくば,香取台Ａ
924,久米,女,46,雑踏警備員,つくば,香取台Ｂ
925,梅村,男,47,その他の保安・警備・監視員,つくば,諏訪Ｃ
926,栗林,男,25,管理人（マンション、アパート等）,つくば,諏訪Ｄ
927,小菅,女,49,管理人（駐車場、駐輪場）,つくば,諏訪Ｅ
928,手島,女,50,ビル設備管理員、ビル管理人,つくば,陣場Ｄ
929,小堀,男,51,管理人（寄宿舎、寮、その他）,つくば,陣場Ｅ
930,浦野,女,52,機械設備運転（クレーン、ボイラー、発電等）,つくば,陣場Ｆ
931,角,男,53,トラック運転手,つくば,陣場Ｇ
932,西島,男,54,トレーラー・タンクローリー運転手,つくば,みどりの一丁目
933,結城,男,55,ミキサー車・ダンプカー運転手,つくば,みどりの二丁目
934,大嶋,男,56,ごみ収集・陸送・その他の貨物自動車運転手,つくば,みどりの中央
935,飛田,女,25,バス運転手,つくば,みどりの東
936,川西,男,58,タクシー運転手,つくば,みどりの南
937,森口,男,59,役員車・送迎車等の乗用自動車運転手,つくば,台町一丁目
938,小高,女,60,その他の自動車運転手,つくば,台町二丁目
939,井原,女,24,フォークリフト運転作業員,つくば,台町三丁目
940,上杉,男,31,鉄道・船舶・航空機の運転、その他の輸送,つくば,春風台
941,田端,女,32,荷物の配達,つくば,流星台
942,首藤,男,33,ルート集配,つくば,さくらの森
943,赤坂,男,23,郵便の集配、新聞配達等,つくば,かみかわ
944,横川,女,35,運行管理事務,つくば,高山
945,玉置,女,36,出札・旅客・貨物・料金収受係,つくば,万博公園西
946,青野,男,37,ビル・建物の清掃、ハウスクリーニング,つくば,谷田部
947,柏原,男,38,ごみ収集、産業洗浄、その他の清掃・洗浄,つくば,谷田部字瑞穂
948,北,女,39,フォークリフト運転作業員,つくば,羽成
949,浅沼,男,40,倉庫作業,つくば,飯田
950,梅沢,男,25,梱包作業,つくば,中野
951,大林,女,42,包装、ラベル・シール貼付,つくば,片田
952,水島,男,43,商品等の選別・ピッキング,つくば,上萱丸
953,宮坂,男,22,運搬・積卸・引越作業、港湾荷役作業,つくば,花島新田
954,小玉,男,45,工場労務作業員,つくば,下萱丸
955,宮里,男,46,食堂作業員（洗い場等）,つくば,小白硲
956,合田,男,47,小売店作業員（商品の陳列・補充等）,つくば,西栗山
957,角谷,男,48,学校・病院の用務員、その他の作業員,つくば,上横場
958,有賀,男,21,稲作、畑作、園芸等,つくば,境田
959,竹原,男,50,養畜、動物飼育等,つくば,境松
960,脇田,男,51,植木職、造園師,つくば,根崎
961,柴山,男,52,その他の農業,つくば,古館
962,加瀬,男,53,林業,つくば,緑が丘
963,本村,男,54,漁業,つくば,東丸山
964,三沢,男,23,農業・畜産・林業・水産技術者,つくば,真瀬
965,島津,男,56,農学・林学・水産学研究者,つくば,鍋沼新田
966,明石,男,57,一般事務,つくば,高須賀
967,池本,男,58,事務補助,つくば,高良田
968,志田,男,22,総務事務,つくば,島名
969,池谷,男,60,人事事務,つくば,中別府
970,春日,男,30,秘書,つくば,下別府
971,勝田,男,31,受付・案内事務,つくば,上河原崎下河原崎入会地
972,滝川,男,26,医療事務・受付,つくば,上河原崎
973,妹尾,男,33,調剤薬局事務,つくば,鬼ケ窪
974,大和,男,34,護事務,つくば,高田
975,富山,男,35,会計・経理事務,つくば,面野井
976,前島,女,36,営業事務,つくば,下河原崎
977,柿沼,男,37,販売事務,つくば,水堀
978,会田,男,23,金融,つくば,北郷
979,楠,男,39,保険事務,つくば,西平塚
980,大下,女,40,貿易事務,つくば,東平塚
981,中塚,男,41,企画事務,つくば,下平塚
982,恩田,男,22,マーケティング,つくば,葛城根崎
983,阪口,男,43,生産・工程管理事務,つくば,苅間
984,戸塚,女,44,出荷・受荷事務,つくば,西大橋
985,夏目,男,45,運行管理事務,つくば,西岡
986,磯野,男,46,郵便事務,つくば,小野崎
987,石野,男,26,旅客・料金収受係,つくば,島
988,前野,女,48,データ入力等ＰＣ操作,つくば,平
989,益田,男,49,コールセンターオペレーター,つくば,大白硲
990,野島,女,22,テレアポ等,つくば,柳橋
991,古山,男,51,集金・検針・調査等の外勤事務,つくば,新井
992,小栗,男,52,法人・団体の役員・管理職等,つくば,山中
993,曽我,女,53,不動産営業,つくば,藤本
994,笹川,男,54,金融・保険営業,つくば,大わし
995,白木,男,55,飲食料品販売営業,つくば,中内
996,菅井,男,56,機械器具・電気器具販売営業,つくば,館野
997,吉崎,女,57,自動車販売営業,つくば,榎戸
998,谷村,男,58,製品受注営業,つくば,北中妻
999,川越,男,59,通信・情報システム営業,つくば,赤塚
1000,国分,男,60,化学品販売営業、医薬品営業,つくば,下原
1001,楠本,男,30,広告営業、会員勧誘、その他の営業,つくば,梶内
1002,日下部,男,31,テレフォンアポインター,つくば,南中妻
1003,坂東,女,32,スーパー・百貨店販売店員,つくば,下横場
1004,持田,男,33,レジ係,つくば,稲岡
1005,井本,男,21,コンビニエンスストア店員,つくば,北中島
1006,岡山,男,35,衣料品販売店員,つくば,市之台
1007,内村,男,36,飲食料品販売店員,つくば,今泉
1008,花岡,男,37,医薬品・化粧品販売店員,つくば,新牧田
1009,鬼頭,女,38,自動車販売店員,つくば,手代木
1010,金澤,男,22,電気機器販売店員,つくば,西大沼
1011,末吉,男,40,ガソリンスタンド販売員,つくば,上原
1012,神戸,男,41,その他の小売店販売員,つくば,松野木
1013,高畑,女,42,小売店作業員（商品の陳列・補充等）,つくば,観音台一丁目
1014,中,男,43,店長（小売、卸売）,つくば,観音台二丁目
1015,福地,男,23,不動産仲介・売買,つくば,観音台三丁目
1016,熊田,男,45,訪問販売、卸売、その他の販売,つくば,春日一丁目
1017,城戸,男,46,飲食店のホールスタッフ,つくば,春日二丁目
1018,沖,女,47,飲食店店長,つくば,春日三丁目
1019,石倉,男,24,ホテル・旅館のフロント、接客、客室係,つくば,春日四丁目
1020,田渕,男,49,娯楽施設・スポーツ施設・その他の接客,つくば,松代一丁目
1021,玉木,男,50,美容師,つくば,松代二丁目
1022,滝,男,51,理容師,つくば,松代三丁目
1023,田所,男,25,エステティシャン、ネイリスト,つくば,松代四丁目
1024,浜,男,53,理美容師補助、その他の美容サービス,つくば,松代五丁目
1025,倉本,男,54,調理人（日本・西洋・中華料理）,つくば,西郷
1026,若山,男,55,調理人（給食）,つくば,小野川
1027,粕谷,男,56,調理人（食堂、居酒屋、弁当店、その他）,つくば,東一丁目
1028,児島,男,57,調理補助、調理人見習,つくば,東二丁目
1029,東海林,男,58,食堂作業員（洗い場等）,つくば,稲荷前
1030,塩見,男,59,クリーニング等の生活衛生サービス,つくば,二の宮一丁目
1031,沖田,男,28,保育・介護補助、冠婚葬祭、その他サービス,つくば,二の宮二丁目
1032,森井,男,30,施設介護員,つくば,二の宮三丁目
1033,八田,男,31,訪問介護員、ホームヘルパー,つくば,二の宮四丁目
1034,寺沢,男,28,介護支援専門員、ケアマネージャー,つくば,高野台一丁目
1035,黒崎,女,33,老人福祉施設指導員,つくば,高野台二丁目
1036,重松,男,34,障害者福祉施設指導員,つくば,高野台三丁目
1037,沢井,女,35,児童福祉施設指導員,つくば,東新井
1038,寺西,男,36,福祉相談員、ケースワーカー,つくば,御幸が丘
1039,長坂,男,37,その他の福祉専門職,つくば,八幡台
1040,高嶋,男,38,福祉施設管理者,つくば,上郷
1041,重田,女,22,保育士,つくば,木俣
1042,廣瀬,男,25,保育補助（その他サービスを含む）,つくば,野畑
1043,本山,男,41,学童保育・放課後児童クラブ等指導員,つくば,百家
1044,深井,男,42,幼稚園教員,つくば,高野
1045,森永,女,43,小・中・高等学校・特別支援学校等教員,つくば,今鹿島
1046,村木,男,26,専修学校・各種学校教員,つくば,沼崎
1047,大浦,男,45,職業訓練指導員、研修講師、その他の教員,つくば,中東原新田
1048,大高,男,46,学習塾教師,つくば,遠東
1049,田尻,男,47,スポーツインストラクター,つくば,酒丸
1050,井村,男,48,習い事・その他の講師、インストラクター,つくば,土田
1051,高谷,男,21,図書館司書,つくば,上里
1052,知念,女,50,学芸員,つくば,東光台一丁目
1053,鵜飼,男,51,学校カウンセラー,つくば,東光台二丁目
1054,南部,男,52,医師、歯科医師、獣医師,つくば,東光台三丁目
1055,平賀,男,53,薬剤師,つくば,東光台四丁目
1056,川嶋,女,23,看護師,つくば,東光台五丁目
1057,磯崎,男,55,准看護師,つくば,田倉
1058,玉田,男,56,看護助手,つくば,緑ケ原一丁目
1059,米倉,女,57,保健師、助産師,つくば,緑ケ原二丁目
1060,菊田,男,58,理学療法士、作業療法士,つくば,緑ケ原三丁目
1061,秋本,男,24,臨床検査技師、診療放射線技師等,つくば,緑ケ原四丁目
1062,岡島,女,60,歯科衛生士、歯科技工士,つくば,手子生
1063,今,男,30,歯科助手、歯科受付,つくば,大曽根
1064,寺岡,男,31,栄養士、管理栄養士,つくば,鹿島台
1065,小俣,男,32,あん摩マッサージ指圧・鍼灸師、柔道整復師,つくば,玉取
1066,熊倉,男,33,言語聴覚士、その他の保健医療専門職,つくば,若森
1067,猪股,男,34,動物病院助手、その他の助手等,つくば,佐
1068,下地,男,35,医療事務・受付、調剤薬局事務,つくば,蓮沼
1069,笹原,男,36,金属材料製造、金属加工、溶接,つくば,花畑一丁目
1070,古橋,男,37,自動車組立、輸送用機械組立・整備,つくば,花畑二丁目
1071,増井,男,28,自動車整備工,つくば,花畑三丁目
1072,岩谷,男,39,電気・電子・通信機器等組立・修理,つくば,前野
1073,冨永,男,40,光学機械、その他の機械組立・修理,つくば,立原
1074,畠中,男,41,食料品製造・加工,つくば,篠崎
1075,富沢,男,42,衣服・繊維製品製造、パタンナー,つくば,北原
1076,氏家,男,25,化学製品、窯業・土石製品の製造・加工,つくば,長高野
1077,長浜,男,44,プラスチック製品、その他の製造・加工,つくば,要
1078,小暮,男,45,ＤＴＰオペレーター、印刷、製本,つくば,大穂
1079,五味,男,46,ＣＡＤオペレーター、製図、写図、現図,つくば,吉沼
1080,小口,男,47,塗装、看板制作、その他生産関連,つくば,西高野
1081,桜田,男,24,製品検査,つくば,大久保
1082,小平,男,49,生産設備オペレーター（制御・監視),つくば,大砂
1083,野呂,男,50,工場労務作業,つくば,小田
1084,大関,男,51,建築技術者（工事監督、設計技術者等）,つくば,北太田
1085,平本,男,27,土木技術者（工事監督、設計技術者等）,つくば,大形
1086,梶田,男,53,測量技術者（測量士、測量士補）,つくば,下大島
1087,花井,男,54,ソフトウェア開発技術者、プログラマー,つくば,小和田
1088,川添,男,55,その他の情報処理・通信技術者,つくば,山口
1089,小峰,男,56,電気・電子・電気通信の開発・製造技術者,つくば,平沢
1090,杉崎,男,57,機械・自動車等の設計・製造技術者,つくば,北条
1091,牧田,男,58,食品・その他の技術者、研究者,つくば,君島
1092,土谷,男,59,経営、法務,つくば,泉
1093,紺野,男,60,ウェブデザイナー,つくば,小泉
1094,鹿島,男,24,デザイナー（ウェブを除く）,つくば,田中
1095,安永,男,31,カメラマン、記者・編集者、その他芸術,つくば,田水山
1096,西井,男,32,通訳、翻訳,つくば,水守
1097,新村,男,28,カウンセラー（医療・福祉施設を除く）,つくば,上沢
1098,西浦,男,34,司書、その他の専門職,つくば,山木
1099,河西,男,35,大工,つくば,明石
1100,倉橋,男,36,配管工,つくば,高野原新田
1101,柳瀬,男,37,左官、タイル張・内装・防水工等,つくば,作谷
1102,鹿野,男,38,とび工、型枠大工、鉄筋工（建設躯体工事）,つくば,寺具
1103,岩村,男,39,建設機械・クレーン等運転工、玉掛,つくば,安食
1104,相田,男,40,ダンプカー・ミキサー車運転手,つくば,上菅間
1105,境,男,41,建設・土木作業員,つくば,中菅間
1106,宮澤,男,42,舗装・線路工事・掘削等作業員,つくば,池田
1107,辻村,男,43,電気工事作業員,つくば,磯部
1108,大越,男,44,通信設備作業員、送電線等架線・敷設作業員,つくば,洞下
1109,丸田,男,23,採掘,つくば,筑波
1110,今川,男,46,建築技術者（工事監督、設計技術者等）,つくば,沼田
1111,塚越,男,47,土木技術者（工事監督、設計技術者等）,つくば,国松
1112,川名,男,48,測量技術者（測量士、測量士補）等,つくば,上大島
1113,長沼,男,25,施設警備員,つくば,神郡
1114,伴,男,50,道路交通誘導員,つくば,臼井
1115,黒澤,男,51,雑踏警備員,つくば,大貫
1116,百瀬,男,52,その他の保安・警備・監視員,つくば,杉木
1117,安川,男,22,管理人（マンション、アパート等）,つくば,小沢
1118,寺内,男,54,管理人（駐車場、駐輪場）,つくば,漆所
1119,寺崎,男,55,ビル設備管理員、ビル管理人,つくば,和台
1120,松谷,男,56,管理人（寄宿舎、寮、その他）,つくば,上境
1121,藤島,男,25,機械設備運転（クレーン、ボイラー、発電等）,つくば,中根
1122,寺井,男,58,トラック運転手,つくば,栄
1123,赤羽,男,59,トレーラー・タンクローリー運転手,つくば,松塚
1124,神原,男,60,ミキサー車・ダンプカー運転手,つくば,松栄
1125,我妻,男,27,ごみ収集・陸送・その他の貨物自動車運転手,つくば,大
1126,篠塚,男,31,バス運転手,つくば,横町
1127,新保,男,32,タクシー運転手,つくば,金田
1128,二瓶,男,33,役員車・送迎車等の乗用自動車運転手,つくば,古来
1129,湊,男,34,その他の自動車運転手,つくば,吉瀬
1130,益子,男,28,フォークリフト運転作業員,つくば,上ノ室
1131,本郷,男,36,鉄道・船舶・航空機の運転、その他の輸送,つくば,上広岡
1132,古市,男,37,荷物の配達,つくば,上広岡字野田
1133,伊達,男,38,ルート集配,つくば,下広岡
1134,熊沢,男,39,郵便の集配、新聞配達等,つくば,大角豆
1135,東野,男,29,運行管理事務,つくば,倉掛
1136,真野,男,41,出札・旅客・貨物・料金収受係,つくば,妻木
1137,仲野,男,42,ビル・建物の清掃、ハウスクリーニング,つくば,柴崎
1138,品川,男,43,ごみ収集、産業洗浄、その他の清掃・洗浄,つくば,岡村新田
1139,滝田,男,22,フォークリフト運転作業員,つくば,東岡
1140,須永,男,45,倉庫作業,つくば,花室
1141,室井,男,46,梱包作業,つくば,栗原
1142,浦,男,21,包装、ラベル・シール貼付,つくば,上野
1143,野間,男,48,商品等の選別・ピッキング,つくば,天王台一丁目
1144,片野,男,49,運搬・積卸・引越作業、港湾荷役作業,つくば,天王台二丁目
1145,村越,男,50,工場労務作業員,つくば,天王台三丁目
1146,郡司,男,51,食堂作業員（洗い場等）,つくば,天久保一丁目
1147,大前,男,52,小売店作業員（商品の陳列・補充等）,つくば,天久保二丁目
1148,金,男,53,学校・病院の用務員、その他の作業員,つくば,天久保三丁目
1149,土肥,男,54,稲作、畑作、園芸等,つくば,天久保四丁目
1150,的場,男,25,養畜、動物飼育等,つくば,吾妻一丁目
1151,江田,男,56,植木職、造園師,つくば,吾妻二丁目
1152,新川,男,57,その他の農業,つくば,吾妻三丁目
1153,平原,男,58,林業,つくば,吾妻四丁目
1154,神保,男,59,漁業,つくば,竹園一丁目
1155,安西,男,60,農業・畜産・林業・水産技術者,つくば,竹園二丁目
1156,江頭,男,22,農学・林学・水産学研究者,つくば,竹園三丁目
1157,石沢,男,31,一般事務,つくば,千現一丁目
1158,大宮,男,32,事務補助,つくば,千現二丁目
1159,中岡,男,25,総務事務,つくば,並木一丁目
1160,河上,男,34,人事事務,つくば,並木二丁目
1161,大岩,男,35,秘書,つくば,並木三丁目
1162,南雲,男,23,受付・案内事務,つくば,並木四丁目
1163,渥美,男,37,医療事務・受付,つくば,梅園一丁目
1164,金原,男,38,調剤薬局事務,つくば,梅園二丁目
1165,保田,男,39,護事務,つくば,桜一丁目
1166,長澤,男,40,会計・経理事務,つくば,桜二丁目
1167,村中,男,41,営業事務,つくば,桜三丁目
1168,高須,男,42,販売事務,つくば,筑穂一丁目
1169,久田,男,43,金融,つくば,筑穂二丁目
1170,坂,男,44,保険事務,つくば,筑穂三丁目
1171,藤山,男,27,貿易事務,つくば,豊里の杜一丁目
1172,湯川,男,46,企画事務,つくば,豊里の杜二丁目
1173,野尻,男,47,マーケティング,つくば,南原
1174,森島,男,48,生産・工程管理事務,つくば,旭
1175,住田,男,49,出荷・受荷事務,つくば,西沢
1176,安原,男,50,運行管理事務,つくば,西原
1177,栗本,男,25,郵便事務,つくば,長峰
1178,照井,男,52,旅客・料金収受係,つくば,原
1179,広川,男,53,データ入力等ＰＣ操作,つくば,六斗
1180,赤井,女,54,コールセンターオペレーター,つくば,小茎
1181,長友,男,23,テレアポ等,つくば,下岩崎
1182,梶,男,56,集金・検針・調査等の外勤事務,つくば,九万坪
1183,大河原,男,57,法人・団体の役員・管理職等,つくば,上岩崎
1184,増山,女,58,不動産営業,つくば,房内
1185,長嶋,男,59,金融・保険営業,つくば,若栗
1186,河口,男,60,飲食料品販売営業,つくば,菅間
1187,仲宗根,男,30,機械器具・電気器具販売営業,つくば,樋の沢
1188,高津,男,31,自動車販売営業,つくば,大井
1189,津村,女,25,製品受注営業,つくば,高崎
1190,河崎,女,33,通信・情報システム営業,つくば,天宝喜
1191,伏見,男,34,化学品販売営業、医薬品営業,つくば,牧園
1192,船越,男,35,広告営業、会員勧誘、その他の営業,つくば,宝陽台
1193,吉見,男,36,テレフォンアポインター,つくば,城山
1194,塩崎,男,37,スーパー・百貨店販売店員,つくば,桜が丘
1195,相良,男,30,レジ係,つくば,森の里
1196,矢崎,男,31,コンビニエンスストア店員,つくば,森の里
1197,磯貝,男,32,衣料品販売店員,つくば,若葉
1198,薄井,女,33,飲食料品販売店員,つくば,あしび野
1199,矢吹,男,34,医薬品・化粧品販売店員,つくば,高見原一丁目
1200,北岡,男,35,自動車販売店員,つくば,高見原二丁目
1201,小山田,男,36,電気機器販売店員,つくば,高見原三丁目
1202,坪田,男,37,ガソリンスタンド販売員,つくば,高見原四丁目
1203,関本,女,38,その他の小売店販売員,つくば,高見原五丁目
1204,上岡,男,39,小売店作業員（商品の陳列・補充等）,つくば,富士見台
1205,有村,男,40,店長（小売、卸売）,つくば,自由ケ丘
1206,増子,男,41,不動産仲介・売買,つくば,自由ケ丘
1207,関野,女,42,訪問販売、卸売、その他の販売,つくば,梅ケ丘
1208,松橋,女,43,飲食店のホールスタッフ,つくば,池の台
1209,藤巻,男,44,飲食店店長,つくば,松の里
1210,桑野,男,45,ホテル・旅館のフロント、接客、客室係,つくば,駒込
1211,石村,男,22,娯楽施設・スポーツ施設・その他の接客,つくば,茎崎
1212,石岡,女,47,美容師,つくば,小山
1213,照屋,男,48,理容師,つくば,大舟戸
1214,中森,男,49,エステティシャン、ネイリスト,つくば,細見
1215,河井,男,50,理美容師補助、その他の美容サービス,つくば,泊崎
1216,谷田,男,51,調理人（日本・西洋・中華料理）,つくば,明神
1217,藤谷,男,52,調理人（給食）,つくば,稲荷川
1218,緑川,男,20,調理人（食堂、居酒屋、弁当店、その他）,つくば,西ノ沢
1219,金野,男,54,調理補助、調理人見習,つくば,稲荷原
1220,浜中,男,55,食堂作業員（洗い場等）,つくば,池向
1221,高沢,男,26,クリーニング等の生活衛生サービス,つくば,鷹野原
1222,梶山,男,57,保育・介護補助、冠婚葬祭、その他サービス,つくば,中山
1223,尾関,男,58,施設介護員,つくば,西大井
1224,八巻,女,59,訪問介護員、ホームヘルパー,つくば,和台原
1225,安東,男,60,介護支援専門員、ケアマネージャー,つくば,学園の森一丁目
1226,稲村,男,30,老人福祉施設指導員,つくば,学園の森二丁目
1227,山脇,女,23,障害者福祉施設指導員,つくば,学園の森三丁目
1228,高坂,男,32,児童福祉施設指導員,つくば,研究学園一丁目
1229,垣内,男,33,福祉相談員、ケースワーカー,つくば,研究学園二丁目
1230,西森,男,26,その他の福祉専門職,つくば,研究学園三丁目
1231,牛島,女,35,福祉施設管理者,つくば,研究学園四丁目
1232,森崎,男,36,保育士,つくば,研究学園五丁目
1233,湯本,男,37,保育補助（その他サービスを含む）,つくば,研究学園六丁目
1234,長山,男,38,学童保育・放課後児童クラブ等指導員,つくば,研究学園七丁目
1235,二村,女,39,幼稚園教員,つくば,学園南一丁目
1236,堺,男,40,小・中・高等学校・特別支援学校等教員,つくば,学園南二丁目
1237,棚橋,男,41,専修学校・各種学校教員,つくば,学園南三丁目
1238,水本,男,42,職業訓練指導員、研修講師、その他の教員,つくば,香取台Ａ
1239,中道,男,26,学習塾教師,つくば,香取台Ｂ
1240,小宮山,男,29,スポーツインストラクター,つくば,諏訪Ｃ
1241,松林,男,45,習い事・その他の講師、インストラクター,つくば,諏訪Ｄ
1242,谷内,男,46,図書館司書,つくば,諏訪Ｅ
1243,小村,女,47,学芸員,つくば,陣場Ｄ
1244,住吉,男,25,学校カウンセラー,つくば,陣場Ｅ
1245,福士,女,49,医師、歯科医師、獣医師,つくば,陣場Ｆ
1246,相澤,男,50,薬剤師,つくば,陣場Ｇ
1247,迫田,男,51,看護師,つくば,みどりの一丁目
1248,塩野,男,28,准看護師,つくば,みどりの二丁目
1249,榊,男,53,看護助手,つくば,みどりの中央
1250,新美,男,54,保健師、助産師,つくば,みどりの東
1251,人見,男,55,理学療法士、作業療法士,つくば,みどりの南
1252,田嶋,女,56,臨床検査技師、診療放射線技師等,つくば,台町一丁目
1253,椿,男,57,歯科衛生士、歯科技工士,つくば,台町二丁目
1254,小竹,男,58,歯科助手、歯科受付,つくば,台町三丁目
1255,越川,男,59,栄養士、管理栄養士,つくば,春風台
1256,飯村,女,60,あん摩マッサージ指圧・鍼灸師、柔道整復師,つくば,流星台
1257,鶴見,男,30,言語聴覚士、その他の保健医療専門職,つくば,さくらの森
1258,玉川,男,31,動物病院助手、その他の助手等,つくば,かみかわ
1259,加賀,男,32,医療事務・受付、調剤薬局事務,つくば,高山
1260,塩沢,男,33,金属材料製造、金属加工、溶接,つくば,万博公園西
1261,船木,女,34,自動車組立、輸送用機械組立・整備,つくば,谷田部
1262,東山,男,35,自動車整備工,つくば,谷田部字瑞穂
1263,芝田,男,36,電気・電子・通信機器等組立・修理,つくば,羽成
1264,柿本,男,37,光学機械、その他の機械組立・修理,つくば,飯田
1265,永瀬,女,38,食料品製造・加工,つくば,中野
1266,深澤,男,21,衣服・繊維製品製造、パタンナー,つくば,片田
1267,吉武,男,40,化学製品、窯業・土石製品の製造・加工,つくば,上萱丸
1268,赤塚,女,41,プラスチック製品、その他の製造・加工,つくば,花島新田
1269,丸岡,男,42,ＤＴＰオペレーター、印刷、製本,つくば,下萱丸
1270,矢沢,男,43,ＣＡＤオペレーター、製図、写図、現図,つくば,小白硲
1271,柿崎,男,28,塗装、看板制作、その他生産関連,つくば,西栗山
1272,原島,男,45,製品検査,つくば,上横場
1273,大坂,女,46,生産設備オペレーター（制御・監視),つくば,境田
1274,梅木,男,47,工場労務作業,つくば,境松
1275,仲,男,48,建築技術者（工事監督、設計技術者等）,つくば,根崎
1276,清原,女,49,土木技術者（工事監督、設計技術者等）,つくば,古館
1277,唐沢,男,27,測量技術者（測量士、測量士補）,つくば,緑が丘
1278,駒井,男,29,ソフトウェア開発技術者、プログラマー,つくば,東丸山
1279,向山,男,52,その他の情報処理・通信技術者,つくば,真瀬
1280,高森,女,53,電気・電子・電気通信の開発・製造技術者,つくば,鍋沼新田
1281,西澤,男,54,機械・自動車等の設計・製造技術者,つくば,高須賀
1282,下野,男,55,食品・その他の技術者、研究者,つくば,高良田
1283,田沢,男,56,経営、法務,つくば,島名
1284,木島,男,57,ウェブデザイナー,つくば,中別府
1285,井沢,女,58,デザイナー（ウェブを除く）,つくば,下別府
1286,沢,男,59,カメラマン、記者・編集者、その他芸術,つくば,上河原崎下河原崎入会地
1287,小橋,男,60,通訳、翻訳,つくば,上河原崎
1288,辻井,女,30,カウンセラー（医療・福祉施設を除く）,つくば,鬼ケ窪
1289,名倉,男,31,司書、その他の専門職,つくば,高田
1290,宇田,男,32,大工,つくば,面野井
1291,高杉,男,33,配管工,つくば,下河原崎
1292,藤澤,女,34,左官、タイル張・内装・防水工等,つくば,水堀
1293,鮫島,男,35,とび工、型枠大工、鉄筋工（建設躯体工事）,つくば,北郷
1294,平間,女,36,建設機械・クレーン等運転工、玉掛,つくば,西平塚
1295,塙,男,37,ダンプカー・ミキサー車運転手,つくば,東平塚
1296,高林,男,38,建設・土木作業員,つくば,下平塚
1297,笹本,男,29,舗装・線路工事・掘削等作業員,つくば,葛城根崎
1298,岩沢,女,40,電気工事作業員,つくば,苅間
1299,犬飼,男,41,通信設備作業員、送電線等架線・敷設作業員,つくば,西大橋
1300,疋田,男,24,採掘,つくば,西岡
1301,三瓶,男,43,建築技術者（工事監督、設計技術者等）,つくば,小野崎
1302,竹林,男,44,土木技術者（工事監督、設計技術者等）,つくば,島
1303,上地,男,45,測量技術者（測量士、測量士補）等,つくば,平
1304,磯田,男,46,施設警備員,つくば,大白硲
1305,植野,男,23,道路交通誘導員,つくば,柳橋
1306,川内,男,22,雑踏警備員,つくば,新井
1307,西崎,女,49,その他の保安・警備・監視員,つくば,山中
1308,羽鳥,男,50,管理人（マンション、アパート等）,つくば,藤本
1309,福沢,男,51,管理人（駐車場、駐輪場）,つくば,大わし
1310,福元,男,52,ビル設備管理員、ビル管理人,つくば,中内
1311,平石,女,53,管理人（寄宿舎、寮、その他）,つくば,館野
1312,畑山,男,54,機械設備運転（クレーン、ボイラー、発電等）,つくば,榎戸
1313,新里,女,55,トラック運転手,つくば,北中妻
1314,八幡,男,56,トレーラー・タンクローリー運転手,つくば,赤塚
1315,勝山,男,57,ミキサー車・ダンプカー運転手,つくば,下原
1316,加茂,男,58,ごみ収集・陸送・その他の貨物自動車運転手,つくば,梶内
1317,城間,女,59,バス運転手,つくば,南中妻
1318,森野,男,60,タクシー運転手,つくば,下横場
1319,西垣,男,30,役員車・送迎車等の乗用自動車運転手,つくば,稲岡
1320,柳澤,女,31,その他の自動車運転手,つくば,北中島
1321,金本,男,32,フォークリフト運転作業員,つくば,市之台
1322,石毛,男,33,鉄道・船舶・航空機の運転、その他の輸送,つくば,今泉
1323,船橋,女,34,荷物の配達,つくば,新牧田
1324,米谷,女,35,ルート集配,つくば,手代木
1325,袴田,男,36,郵便の集配、新聞配達等,つくば,西大沼
1326,横溝,男,37,運行管理事務,つくば,上原
1327,志水,女,38,出札・旅客・貨物・料金収受係,つくば,松野木
1328,島本,男,39,ビル・建物の清掃、ハウスクリーニング,つくば,観音台一丁目
1329,長屋,男,40,ごみ収集、産業洗浄、その他の清掃・洗浄,つくば,観音台二丁目
1330,廣田,男,41,フォークリフト運転作業員,つくば,観音台三丁目
1331,村尾,男,42,倉庫作業,つくば,春日一丁目
1332,城,男,43,梱包作業,つくば,春日二丁目
1333,伊沢,男,44,包装、ラベル・シール貼付,つくば,春日三丁目
1334,大屋,男,45,商品等の選別・ピッキング,つくば,春日四丁目
1335,山浦,男,46,運搬・積卸・引越作業、港湾荷役作業,つくば,松代一丁目
1336,長,男,47,工場労務作業員,つくば,松代二丁目
1337,安斎,男,48,食堂作業員（洗い場等）,つくば,松代三丁目
1338,沢村,男,49,小売店作業員（商品の陳列・補充等）,つくば,松代四丁目
1339,鳴海,男,50,学校・病院の用務員、その他の作業員,つくば,松代五丁目
1340,木谷,男,51,稲作、畑作、園芸等,つくば,西郷
1341,岩橋,男,52,養畜、動物飼育等,つくば,小野川
1342,小崎,男,53,植木職、造園師,つくば,東一丁目
1343,浦川,男,54,その他の農業,つくば,東二丁目
1344,長嶺,男,55,林業,つくば,稲荷前
1345,村本,男,56,漁業,つくば,二の宮一丁目
1346,時田,男,57,農業・畜産・林業・水産技術者,つくば,二の宮二丁目
1347,小熊,男,58,農学・林学・水産学研究者,つくば,二の宮三丁目
1348,大杉,男,59,一般事務,つくば,二の宮四丁目
1349,桂,男,60,事務補助,つくば,高野台一丁目
1350,鳥海,女,30,総務事務,つくば,高野台二丁目
